date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:54	12628/12628	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Dec%202018%2014:48:53%20GMT	https://herrlich.media/	E:/MINI-PROJECT/team/team2/herrlich.media/index.html	(from )
01:06:54	231/231	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/robots.txt		(from )
01:06:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2005%20Dec%202018%2019:36:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/MINI-PROJECT/team/team2/www.googletagmanager.com/gtm.05445.delayed	(from https://herrlich.media/)
01:06:55	4286/4286	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/favicon.ico	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/favicon.ico	(from https://herrlich.media/)
01:06:56	5540/5540	---M-Z	200	added ('OK')	image/gif	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/favicon.gif	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/favicon.gif	(from https://herrlich.media/)
01:06:57	1233/1233	---M-Z	200	added ('OK')	image/png	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-57x57.png	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-57x57.png	(from https://herrlich.media/)
01:06:57	1327/1327	---M-Z	200	added ('OK')	image/png	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-114x114.png	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-114x114.png	(from https://herrlich.media/)
01:06:57	1237/1237	---M-Z	200	added ('OK')	image/png	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-72x72.png	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-72x72.png	(from https://herrlich.media/)
01:06:57	1414/1414	---M-Z	200	added ('OK')	image/png	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-144x144.png	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/img/touch-icons/apple-touch-icon-144x144.png	(from https://herrlich.media/)
01:06:58	10548/10548	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Dec%202018%2019:36:51%20GMT	https://herrlich.media/GET	E:/MINI-PROJECT/team/team2/herrlich.media/GET	(from https://herrlich.media/)
01:06:59	0/0	---M--	200	added ('OK')	text/html	date:Wed,%2005%20Dec%202018%2019:36:52%20GMT	https://herrlich.media/retinaimages.php?devicePixelRatio=	E:/MINI-PROJECT/team/team2/herrlich.media/retinaimagese0f5.php	(from https://herrlich.media/)
01:06:59	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2005%20Dec%202018%2019:36:52%20GMT	https://herrlich.media/xmlrpc.php	E:/MINI-PROJECT/team/team2/herrlich.media/xmlrpc.php	(from https://herrlich.media/)
01:07:00	126605/126605	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Nov%202018%2015:11:24%20GMT	https://herrlich.media/wp-content/themes/herrlich/assets/css/style.min.css?ver=1.0	E:/MINI-PROJECT/team/team2/herrlich.media/wp-content/themes/herrlich/assets/css/style.min5152.css	(from https://herrlich.media/)
01:07:01	11957/11957	---M-Z	200	added ('OK')	application/rss+xml	etag:%224130d223adf54ca1b3a03cbea527ca4d-gzip%22	https://herrlich.media/comments/feed/	E:/MINI-PROJECT/team/team2/herrlich.media/comments/feed/index.html	(from https://herrlich.media/)
01:07:01	14509/14509	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a5709150041a58377126bf82fea8e10b-gzip%22	https://herrlich.media/feed/	E:/MINI-PROJECT/team/team2/herrlich.media/feed/index.html	(from https://herrlich.media/)
01:07:01	862/862	---M-Z	200	added ('OK')	application/rss+xml	etag:%224130d223adf54ca1b3a03cbea527ca4d-gzip%22	https://herrlich.media/home/feed/	E:/MINI-PROJECT/team/team2/herrlich.media/home/feed/index.html	(from https://herrlich.media/)
