date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:13	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2006%20Dec%202018%2017:00:13%20GMT	http://thisisarmor.com/robots.txt		(from )
22:30:13	22918/22918	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Dec%202018%2017:00:13%20GMT	http://thisisarmor.com/about/	E:/MINI-PROJECT/team2/x/thisisarmor.com/about/index.html	(from )
22:30:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Dec%202018%2017:00:14%20GMT	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.css	E:/MINI-PROJECT/team2/x/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.0.delayed	(from http://thisisarmor.com/about/)
22:30:14	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%226c1-bp0TNCoRqM/Z5C7iQ+rq4BzaTiU%22	https://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.css	E:/MINI-PROJECT/team2/x/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.css	(from http://thisisarmor.com/about/)
22:30:15	46701/46701	---MCZ	200	added ('OK')	text/css	etag:W/%225bb4ff07-b66d%22	http://thisisarmor.com/wp-content/themes/armor/style.css?ver=4.9.8	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/themes/armor/style5010.css	(from http://thisisarmor.com/about/)
22:30:28	136574/136574	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-2157e%22	http://thisisarmor.com/wp-content/uploads/2017/10/ripe-hero.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/10/ripe-hero.jpg	(from http://thisisarmor.com/about/)
22:30:29	67320/67320	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-106f8%22	http://thisisarmor.com/wp-content/uploads/2017/10/hv-hero-2.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/10/hv-hero-2.jpg	(from http://thisisarmor.com/about/)
22:30:32	69096/69096	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-10de8%22	http://thisisarmor.com/wp-content/uploads/2017/10/dan-hughes-full.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/10/dan-hughes-full.jpg	(from http://thisisarmor.com/about/)
22:30:38	66697/66697	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-10489%22	http://thisisarmor.com/wp-content/uploads/2017/10/chris-reif-full.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/10/chris-reif-full.jpg	(from http://thisisarmor.com/about/)
22:30:39	158605/158605	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-26b8d%22	http://thisisarmor.com/wp-content/uploads/2017/09/zeeno.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/09/zeeno.jpg	(from http://thisisarmor.com/about/)
